,id,popularity,release_date,title,vote_average,vote_count,release_year,release_month
29,348128,0.6,1967-01-01,Memento,5.0,1,1967.0,1.0
30,346610,0.6,1968-12-31,Memento,0.0,0,1968.0,12.0
31,438742,0.6,1966-02-16,Memento,0.0,0,1966.0,2.0
32,383069,0.6,2002-11-28,Memento,7.0,2,2002.0,11.0
33,417615,0.6,,Memento,0.0,0,,
34,541025,0.904,2018-06-28,Memento Mori,0.0,0,2018.0,6.0
35,504521,0.6,1984-05-20,Zadar's Memento,5.0,1,1984.0,5.0
36,381742,0.6,1991-02-08,Memento mori,0.0,0,1991.0,2.0
37,374795,0.603,2015-11-20,Memento Mortis,0.0,0,2015.0,11.0
38,208728,0.6,2012-09-19,memento mori,7.0,1,2012.0,9.0
39,430775,0.6,2016-06-03,Memento Mori,6.0,1,2016.0,6.0
40,271038,0.6,2005-09-01,Memento Mori,0.0,0,2005.0,9.0
41,384914,0.6,1975-01-05,Memento Mori,0.0,0,1975.0,1.0
42,518808,0.6,,Memento Mori,0.0,0,,
43,575852,0.6,2019-01-26,Memento Stella,0.0,0,2019.0,1.0
44,369827,0.6,1996-01-01,Memento mori,0.0,0,1996.0,1.0
45,466084,0.6,2006-01-01,Memento - A Boulder Life Line,0.0,0,2006.0,1.0
46,13785,7.822,2000-09-19,Best in Show,7.1,249,2000.0,9.0
47,352510,0.6,2010-01-01,Fantasia in Best Show Minor,0.0,0,2010.0,1.0
48,338169,0.6,2015-04-28,Strawberry Shortcake: Berry Best in Show,0.0,0,2015.0,4.0
49,1900,14.877,2000-12-27,Traffic,7.0,964,2000.0,12.0
50,142948,1.896,2011-01-07,Traffic,7.5,14,2011.0,1.0
51,11129,7.067,1999-06-04,Human Traffic,6.8,153,1999.0,6.0
52,504195,1.785,2018-06-22,Traffic Ramasamy,4.0,2,2018.0,6.0
53,30593,1.857,1973-08-08,Heavy Traffic,6.9,30,1973.0,8.0
54,60046,3.745,1960-01-01,The Traffic Policeman,7.7,61,1960.0,1.0
55,162285,1.437,1931-03-16,Traffic Troubles,6.1,7,1931.0,3.0
56,491206,1.414,2017-11-14,Traffic Stop,6.2,14,2017.0,11.0
57,175240,1.472,2000-06-08,Point Doom,7.5,2,2000.0,6.0
58,463156,0.6,,Traffic,0.0,0,,
59,490165,0.6,2015-01-01,Traffic,0.0,0,2015.0,1.0
60,480884,0.6,2014-11-30,Traffic,5.0,1,2014.0,11.0
61,128856,1.056,2004-02-06,Traffic Affairs,4.5,4,2004.0,2.0
62,16464,1.473,1888-10-15,Traffic Crossing Leeds Bridge,5.9,34,1888.0,10.0
63,191098,1.4,1982-06-06,Traffic Officer,7.7,3,1982.0,6.0
64,54917,0.937,2005-01-01,Traffic Warden,7.3,3,2005.0,1.0
65,167179,2.358,2013-01-31,Traffic Department,6.9,25,2013.0,1.0
66,46426,0.953,2007-02-07,Traffic Signal,6.7,3,2007.0,2.0
67,50118,0.775,1998-12-31,Traffic,5.8,4,1998.0,12.0
68,214397,1.627,1976-07-13,Girls in the Night Traffic,3.0,1,1976.0,7.0
69,12706,4.482,1998-06-25,Croupier,6.9,109,1998.0,6.0
70,243,7.822,2000-03-17,High Fidelity,7.2,971,2000.0,3.0
71,361546,0.6,1982-01-01,High Fidelity,0.0,0,1982.0,1.0
72,373690,0.6,1978-01-13,High Fidelity,0.0,0,1978.0,1.0
73,42941,9.169,2010-10-04,30 Days of Night: Dark Days,4.6,212,2010.0,10.0
74,14273,2.029,2000-08-30,Dark Days,7.6,48,2000.0,8.0
75,373450,1.523,2017-08-18,Dark Night,5.6,13,2017.0,8.0
76,190187,0.6,2012-10-02,Dark Days,0.0,0,2012.0,10.0
77,375655,0.6,2015-11-20,6 Days Dark,5.0,3,2015.0,11.0
78,428461,0.6,,Going Dark: The Final Days of Film Projection,0.0,0,,
79,18440,1.998,2007-01-01,Days of Darkness,4.7,9,2007.0,1.0
80,386402,0.6,2007-01-01,Three Days of Darkness,0.0,0,2007.0,1.0
81,539825,2.239,2019-01-25,The Great Darkened Days,0.0,0,2019.0,1.0
82,24173,1.566,2007-05-27,Days of Darkness,6.4,30,2007.0,5.0
83,387799,0.6,2018-03-15,The Darkest Days of Us,0.0,0,2018.0,3.0
84,36210,3.064,1999-09-07,Not One Less,7.6,61,1999.0,9.0
85,27745,2.186,2000-03-29,The Filth and the Fury,7.3,36,2000.0,3.0
86,786,12.649,2000-09-15,Almost Famous,7.5,1291,2000.0,9.0
87,465950,0.748,2017-12-14,Almost Famous,4.0,1,2017.0,12.0
88,417026,1.487,2016-10-07,Russell Peters: Almost Famous,7.0,21,2016.0,10.0
89,568853,0.6,2018-12-07,Almost Almost Famous,0.0,0,2018.0,12.0
90,8358,17.599,2000-12-22,Cast Away,7.6,5761,2000.0,12.0
91,534416,1.4,2017-12-06,Cast Away,0.0,0,2017.0,12.0
92,31389,1.176,2004-01-01,Miss Cast Away,2.7,5,2004.0,1.0
93,56285,0.6,2000-01-01,Behind the Scenes: Cast Away,1.0,1,2000.0,1.0
94,4547,15.142,2002-03-29,Panic Room,6.7,2362,2002.0,3.0
95,20637,3.634,2000-12-01,Panic,6.7,45,2000.0,12.0
96,78294,4.584,2011-08-27,Panic Button,5.4,78,2011.0,8.0
97,113674,1.438,1982-12-07,Panic,5.0,7,1982.0,12.0
98,229405,4.411,2013-12-10,Panic in the Mailroom,6.9,81,2013.0,12.0
99,32078,4.177,1950-06-12,Panic in the Streets,7.1,44,1950.0,6.0
100,27554,5.396,1971-07-13,The Panic in Needle Park,6.8,116,1971.0,7.0
101,276373,0.841,1969-11-20,Panic,0.0,0,1969.0,11.0
102,201380,0.87,1978-01-01,Panic,9.0,1,1978.0,1.0
103,381294,1.487,2015-02-13,Attic Panic,6.5,17,2015.0,2.0
104,27568,2.681,1962-07-05,Panic in Year Zero!,6.3,41,1962.0,7.0
105,84387,1.411,1989-03-02,Don't Panic,4.4,7,1989.0,3.0
106,421561,0.611,2016-11-18,Panic,0.0,0,2016.0,11.0
107,48931,0.6,2008-03-06,Panic,0.0,0,2008.0,3.0
108,320020,0.6,1972-06-15,Panic,5.0,1,1972.0,6.0
109,401388,0.6,2013-09-13,Panic,5.0,1,2013.0,9.0
110,470135,2.346,2018-01-19,Panic Attack,6.0,22,2018.0,1.0
111,585486,1.4,2001-04-09,Bus Panic!!!,0.0,0,2001.0,4.0
112,462047,1.341,1957-11-28,Panic Button,0.0,0,1957.0,11.0
113,36517,0.6,1963-01-01,Panic,0.0,0,1963.0,1.0
114,48217,2.828,2000-01-01,The Widow of Saint-Pierre,6.7,22,2000.0,1.0
115,414651,0.6,1981-09-06,Aimée,0.0,0,1981.0,9.0
116,2211,3.15,1999-02-10,Aimee & Jaguar,7.0,41,1999.0,2.0
117,9722,11.32,2005-06-21,Bewitched,4.9,837,2005.0,6.0
118,221301,1.37,1976-11-17,The Disappearance of Aimee,10.0,1,1976.0,11.0
119,372108,0.6,1956-10-04,Treffpunkt Aimée,0.0,0,1956.0,10.0
120,541213,0.6,1910-08-10,Trop aimée,0.0,0,1910.0,8.0
121,65702,1.373,1979-05-02,Return to the Beloved,7.0,1,1979.0,5.0
122,43307,3.434,1944-05-25,Mr. Skeffington,6.5,23,1944.0,5.0
123,409014,0.601,2015-06-15,La mal aimée,0.0,0,2015.0,6.0
124,130442,0.6,2007-01-04,The Beloved,5.0,1,2007.0,1.0
125,230407,3.834,2013-10-26,The Good Witch's Destiny,6.8,27,2013.0,10.0
126,227898,1.12,1982-05-01,Changer d'image - Lettre à la bien-aimée,5.0,1,1982.0,5.0
127,471738,0.634,1995-01-14,The Unloved,0.0,0,1995.0,1.0
128,361255,0.784,2016-01-06,Looking for Her,4.8,6,2016.0,1.0
129,2797,0.6,1980-11-18,Nous ne l'avons pas assez aimée,0.0,0,1980.0,11.0
130,420225,0.6,1965-01-01,"A la source, la femme aimée",0.0,0,1965.0,1.0
131,428623,0.6,1942-03-20,La femme que j'ai le plus aimée,0.0,0,1942.0,3.0
132,248934,1.673,2014-07-31,Beloved Sisters,5.8,22,2014.0,7.0
133,11826,8.051,2001-01-12,Sexy Beast,7.0,349,2001.0,1.0
134,297516,0.6,2010-10-01,"Sexy Beasts: Vamps, Wolves and Mutants",0.0,0,2010.0,10.0
135,19348,3.973,2000-05-01,Girlfight,6.3,91,2000.0,5.0
136,430129,0.6,,GirlFight: inVite,4.3,3,,
137,560221,1.4,,GirlFight's Girls Gone Wild: An Inside Look Behind the Babes of GirlFight,0.0,0,,
138,21991,4.647,2000-08-26,State and Main,6.4,84,2000.0,8.0
139,11688,14.13,2000-12-09,The Emperor's New Groove,7.5,3190,2000.0,12.0
140,13417,11.253,2005-12-05,Kronk's New Groove,6.2,519,2005.0,12.0
141,1597,11.23,2000-10-06,Meet the Parents,6.6,3145,2000.0,10.0
142,236405,0.6,1992-01-01,Meet the Parents,0.0,0,1992.0,1.0
143,693,12.466,2004-12-22,Meet the Fockers,6.2,2532,2004.0,12.0
144,39451,10.173,2010-12-21,Little Fockers,5.5,1799,2010.0,12.0
145,462,7.519,2000-03-17,Erin Brockovich,7.3,1421,2000.0,3.0
146,71,9.43,2000-05-18,Billy Elliot,7.6,1798,2000.0,5.0
147,298931,1.81,2014-09-28,Billy Elliot: The Musical,8.0,35,2014.0,9.0
148,23618,1.474,2000-08-18,The Original Kings of Comedy,6.5,25,2000.0,8.0
149,34107,1.051,2002-03-01,The Original Latin Kings of Comedy,6.2,3,2002.0,3.0
150,12806,1.788,2000-05-18,Nico and Dani,6.3,31,2000.0,5.0
151,3176,10.541,2000-12-16,Battle Royale,7.3,1666,2000.0,12.0
152,3177,7.675,2003-07-05,Battle Royale II: Requiem,4.9,195,2003.0,7.0
153,517557,0.84,2020-04-11,Battle Royale,0.0,0,2020.0,4.0
154,147957,0.994,2011-11-02,Strip Mahjong: Battle Royale,6.7,3,2011.0,11.0
155,518053,0.917,2018-04-29,IPW:UK International Battle Royale,0.0,0,2018.0,4.0
156,56609,0.84,1987-12-10,Battle Royale High School,5.0,4,1987.0,12.0
157,71485,1.244,2010-05-08,Trick the Movie: Psychic Battle Royale,5.4,5,2010.0,5.0
158,24056,8.999,2009-05-01,The Tournament,5.8,278,2009.0,5.0
159,55984,0.891,2010-02-27,Yakuza-Busting Girls: Final Death-Ride Battle,0.5,1,2010.0,2.0
160,10480,6.28,2000-09-08,Nurse Betty,6.0,186,2000.0,9.0
161,246655,28.346,2016-05-18,X-Men: Apocalypse,6.5,7971,2016.0,5.0
162,127585,40.058,2014-05-15,X-Men: Days of Future Past,7.5,9699,2014.0,5.0
163,320288,25.814,2019-06-05,Dark Phoenix,0.0,0,2019.0,6.0
164,36657,1.608,2000-07-13,X-Men,6.9,6564,2000.0,7.0
165,560583,1.4,1993-09-25,X-Men,0.0,0,1993.0,9.0
166,447161,2.292,2014-11-14,X-Men: Reunited,7.0,56,2014.0,11.0
167,447399,2.772,2000-07-02,X-Men: The Mutant Watch,6.4,39,2000.0,7.0
168,37713,1.337,1989-07-01,X-Men: Pryde of the X-Men,6.5,19,1989.0,7.0
169,2080,2.04,2009-04-28,X-Men Origins: Wolverine,6.2,6241,2009.0,4.0
170,340102,8.2,2019-08-01,The New Mutants,0.0,0,2019.0,8.0
171,36658,1.274,2003-04-24,X2,6.9,5872,2003.0,4.0
172,447167,1.293,2016-11-04,X-Men: Apocalypse Unearthed,5.4,11,2016.0,11.0
173,36668,1.424,2006-05-24,X-Men: The Last Stand,6.4,5625,2006.0,5.0
174,447143,1.597,2006-10-02,X-Men: The Excitement Continues,6.8,6,2006.0,10.0
175,81946,1.541,2000-11-02,X-Men: Production Scrapbook,6.7,12,2000.0,11.0
176,447162,0.937,2015-07-14,X-Men: Unguarded,6.2,9,2015.0,7.0
177,447144,1.4,2006-10-25,Generation X: The Comic Book Origin of X-Men,0.0,0,2006.0,10.0
178,49538,1.111,2011-06-01,X-Men: First Class,7.2,7906,2011.0,6.0
179,121133,1.396,2003-04-29,X-Men: The Legend of Wolverine,8.0,1,2003.0,4.0
180,69221,0.6,1978-01-01,X-Ray Men from Mars,7.0,1,1978.0,1.0
181,11973,8.966,2000-12-24,Thirteen Days,7.0,310,2000.0,12.0
182,425992,0.6,1930-12-30,Thirteen Days,0.0,0,1930.0,12.0
183,282040,1.231,1987-11-11,The Alamo: Thirteen Days to Glory,5.8,4,1987.0,11.0
184,205412,0.676,1965-04-16,Thirteen Days to Die,0.5,1,1965.0,4.0
185,54986,2.485,2000-01-29,Chunhyang,6.7,17,2000.0,1.0
186,10873,5.906,2000-05-15,Shadow of the Vampire,6.7,244,2000.0,5.0
187,28403,2.146,1971-05-17,The Werewolf Versus the Vampire Woman,5.7,17,1971.0,5.0
188,373546,5.117,2017-05-05,Chuck,6.3,54,2017.0,5.0
189,10030,9.435,2007-09-21,Good Luck Chuck,5.7,703,2007.0,9.0
190,44490,2.103,2000-01-21,Chuck & Buck,6.2,23,2000.0,1.0
191,3563,8.36,2007-07-12,I Now Pronounce You Chuck & Larry,5.9,1108,2007.0,7.0
192,583949,1.4,2011-02-19,Billy & Chuck,0.0,0,2011.0,2.0
193,312152,1.707,2015-11-12,Chuck Norris vs Communism,7.2,30,2015.0,11.0
194,570576,0.84,2019-03-01,Chuck Shimezou,0.0,0,2019.0,3.0
195,542612,0.6,2012-06-17,Chuck,0.0,0,2012.0,6.0
196,74340,1.383,1987-05-22,Amazing Grace and Chuck,6.3,6,1987.0,5.0
197,347868,2.976,2019-12-31,Chuck Hank and the San Diego Twins,0.0,0,2019.0,12.0
198,457986,0.909,2017-05-27,Chuck Knight,10.0,1,2017.0,5.0
199,512236,1.618,2018-10-01,Chuck Steel: Night of the Trampires,0.0,2,2018.0,10.0
200,100224,1.808,1976-10-30,How Much Wood Would a Woodchuck Chuck,7.4,10,1976.0,10.0
201,273781,0.6,2007-01-01,Chuck Close,0.0,0,2007.0,1.0
202,42003,1.351,1987-01-01,Chuck Berry: Hail! Hail! Rock 'n' Roll,8.3,6,1987.0,1.0
203,55992,0.877,2007-01-01,The Ultimate Iceman: Chuck Liddell,10.0,1,2007.0,1.0
204,210797,0.6,2009-01-01,Stuck Like Chuck,6.0,1,2009.0,1.0
205,274315,0.6,1997-01-01,Chuck Norris: Private Lesson,6.0,1,1997.0,1.0
206,309213,0.6,2005-01-01,The Chuck Negron Story,0.0,0,2005.0,1.0
207,496910,0.6,1972-07-22,Chuck Berry in Concert,0.0,0,1972.0,7.0
208,11004,9.586,2000-02-22,Wonder Boys,7.0,268,2000.0,2.0
209,553091,1.551,2018-10-05,Wonder Boys,0.0,0,2018.0,10.0
210,413253,0.6,2001-01-25,Spirit of Wonder: Scientific Boys Club,5.0,3,2001.0,1.0
211,18292,3.633,2000-10-01,George Washington,6.7,52,2000.0,10.0
212,35262,1.4,1942-10-30,George Washington Slept Here,6.5,6,1942.0,10.0
213,558393,1.4,1992-11-18,George Washington: The Man Who Wouldn't Be King,0.0,0,1992.0,11.0
214,307161,0.6,2008-04-01,The Real George Washington,0.0,0,2008.0,4.0
215,40878,0.991,2000-01-10,The Crossing,6.5,11,2000.0,1.0
216,357928,1.121,1986-09-21,George Washington II: The Forging of a Nation,0.0,0,1986.0,9.0
217,41881,0.6,1992-06-01,Animated Hero Classics: George Washington,0.0,0,1992.0,6.0
218,316568,0.6,1965-02-09,The Story of George Washington,0.0,0,1965.0,2.0
219,415828,0.6,1909-06-29,The Life of George Washington,0.0,0,1909.0,6.0
220,309715,0.6,2003-05-21,George Washington's First War: The Battles for Fort Duquesne,0.0,0,2003.0,5.0
221,319206,1.548,2007-01-26,The Washingtonians,5.2,13,2007.0,1.0
222,10305,3.219,2000-08-01,Merci pour le Chocolat,6.2,29,2000.0,8.0
223,4816,7.871,1999-09-13,Ghost Dog: The Way of the Samurai,7.3,520,1999.0,9.0
224,14736,5.974,2000-04-21,Love & Basketball,7.3,160,2000.0,4.0
225,25520,2.177,2000-09-23,The House of Mirth,6.5,38,2000.0,9.0
226,367585,0.6,1981-01-01,The House of Mirth,0.0,0,1981.0,1.0
227,196280,0.667,2000-04-13,Lakeboat,5.0,3,2000.0,4.0
228,641,5.25,2000-10-06,Requiem for a Dream,8.0,4637,2000.0,10.0
229,475790,0.6,2001-05-22,The Making of “Requiem for a Dream”,4.0,1,2001.0,5.0
230,333377,5.215,2015-04-18,Requiem for the American Dream,7.8,90,2015.0,4.0
231,92476,0.71,1983-03-21,Pink Floyd: The Final Cut,5.1,4,1983.0,3.0
232,8584,11.527,2000-05-26,Shanghai Noon,6.3,1267,2000.0,5.0
233,6038,9.633,2003-02-06,Shanghai Knights,6.0,1198,2003.0,2.0
234,34899,1.959,2000-05-24,The Vertical Ray of the Sun,6.7,28,2000.0,5.0
235,98,21.31,2000-05-01,Gladiator,8.1,9304,2000.0,5.0
236,16219,3.601,1992-03-06,Gladiator,6.1,43,1992.0,3.0
237,114657,0.998,1986-02-03,The Gladiator,6.7,3,1986.0,2.0
238,558449,1.4,,Untitled Gladiator Sequel,0.0,0,,
239,30470,1.689,2001-01-03,Gladiator Eroticvs: The Lesbian Warriors,5.2,6,2001.0,1.0
240,65293,0.78,1995-05-20,Gladiator Cop,5.2,5,1995.0,5.0
241,41550,3.416,2008-12-06,Cyclops,3.6,16,2008.0,12.0
242,180071,0.935,2007-09-22,Gladiator of Pompeii,0.0,0,2007.0,9.0
243,145086,1.4,2002-03-10,Gladiator Days: Anatomy of a Prison Murder,7.0,3,2002.0,3.0
244,411987,0.84,1988-11-05,Police Story: Gladiator School,0.0,0,1988.0,11.0
245,246864,0.6,1938-08-14,The Gladiator,0.0,0,1938.0,8.0
246,398359,0.6,2016-07-01,Gladiator Wars,0.0,0,2016.0,7.0
247,20125,1.812,2004-08-19,Gladiatress,3.9,11,2004.0,8.0
248,101045,1.399,2003-10-26,Held der Gladiatoren,6.0,3,2003.0,10.0
249,164728,0.616,1961-10-13,The Invincible Gladiator,5.2,5,1961.0,10.0
250,283976,0.6,2006-01-01,Gladiator Challenge - Avalanche,0.0,0,2006.0,1.0
251,202393,0.651,1968-06-28,See Ya Later Gladiator,4.5,2,1968.0,6.0
252,53063,1.296,1994-05-18,Forced to Kill,4.0,4,1994.0,5.0
253,421790,0.6,1993-01-01,Gladiator for Rent,10.0,1,1993.0,1.0
254,183396,1.292,2005-06-07,Strength and Honor: Creating the World of 'Gladiator',7.5,11,2005.0,6.0
255,134,14.307,2000-08-30,"O Brother, Where Art Thou?",7.3,1896,2000.0,8.0
256,5551,10.001,2000-07-31,Space Cowboys,6.3,639,2000.0,7.0
257,20438,2.05,2000-08-04,The Tao of Steve,6.1,38,2000.0,8.0
258,6521,6.657,2000-10-13,The Contender,6.8,100,2000.0,10.0
259,487716,0.84,,The Contender,0.0,0,,
260,513838,0.873,2003-01-01,Contender: Mastering the Method,0.0,0,2003.0,1.0
261,242668,0.6,1944-05-10,The Contender,4.0,1,1944.0,5.0
262,19513,2.042,2001-01-20,Series 7: The Contenders,7.0,24,2001.0,1.0
263,409545,0.6,2009-01-01,The Contenders,0.0,0,2009.0,1.0
264,10876,7.892,2000-11-22,Quills,6.9,231,2000.0,11.0
265,392993,0.6,2013-04-15,Quills,0.0,0,2013.0,4.0
266,65075,0.6,2000-04-15,Keep the River on Your Right: A Modern Cannibal Tale,6.5,6,2000.0,4.0
267,1443,10.172,2000-04-21,The Virgin Suicides,7.1,1465,2000.0,4.0
268,711,9.64,2000-12-21,Finding Forrester,7.1,512,2000.0,12.0
269,16340,6.556,2000-09-14,Rugrats in Paris: The Movie,6.1,174,2000.0,9.0
270,10637,10.786,2000-09-29,Remember the Titans,7.6,1285,2000.0,9.0
271,10687,6.054,2000-09-22,Tigerland,6.7,245,2000.0,9.0
272,565535,1.96,2019-01-27,Tigerland,0.0,0,2019.0,1.0
273,1272,9.624,2007-04-05,Sunshine,7.0,1853,2007.0,4.0
274,13090,8.21,2008-01-18,Sunshine Cleaning,6.6,397,2008.0,1.0
275,17771,2.249,1999-09-13,Sunshine,6.7,44,1999.0,9.0
276,773,9.929,2006-07-26,Little Miss Sunshine,7.6,3333,2006.0,7.0
277,38,16.464,2004-03-19,Eternal Sunshine of the Spotless Mind,8.1,7096,2004.0,3.0
278,267863,5.548,2014-06-19,Walking on Sunshine,6.4,145,2014.0,6.0
279,57022,2.544,2002-06-21,Sunshine State,5.9,14,2002.0,6.0
280,70925,2.493,2010-10-08,Oranges and Sunshine,7.2,42,2010.0,10.0
281,2015,3.528,2007-05-23,Secret Sunshine,7.0,69,2007.0,5.0
282,449329,1.4,1989-08-01,Mr. Sunshine,0.0,0,1989.0,8.0
283,214100,3.767,2013-10-03,Sunshine on Leith,6.7,61,2013.0,10.0
284,40955,2.21,1977-11-01,Blue Sunshine,6.0,23,1977.0,11.0
285,327160,0.914,1973-11-08,Sunshine,8.0,2,1973.0,11.0
286,406195,0.6,,Sunshine,0.0,0,,
287,119694,2.457,1996-08-08,The Sunshine Boys,4.6,7,1996.0,8.0
288,9867,3.267,2007-01-22,The Go-Getter,6.3,38,2007.0,1.0
289,16561,2.202,1975-11-06,The Sunshine Boys,6.9,39,1975.0,11.0
290,362966,0.6,2013-12-13,Sunshine,0.0,0,2013.0,12.0
291,251900,0.6,2011-06-23,Sunshine,0.0,0,2011.0,6.0
292,381024,1.139,2016-03-14,Orange Sunshine,7.5,6,2016.0,3.0
293,17908,6.38,2000-01-14,My Dog Skip,6.6,126,2000.0,1.0
294,15723,5.492,2000-04-28,The Big Kahuna,6.9,161,2000.0,4.0
295,30970,4.677,2000-05-19,Code Unknown,7.0,92,2000.0,5.0
296,9741,17.686,2000-11-13,Unbreakable,7.1,4611,2000.0,11.0
297,431572,5.304,2017-08-04,JoJo's Bizarre Adventure: Diamond Is Unbreakable - Chapter 1,7.1,20,2017.0,8.0
298,536114,1.4,2007-01-01,Baseball's Most Unbreakable Feats,0.0,0,2007.0,1.0
299,407143,0.6,2014-08-02,Unbreakable Signs,6.0,1,2014.0,8.0
300,569523,0.6,,Jelena: Unbreakable,0.0,0,,
301,83895,0.6,2006-12-15,Aryan: Unbreakable,5.5,2,2006.0,12.0
302,17849,0.6,2006-02-26,Pride 31: Unbreakable,0.0,0,2006.0,2.0
303,389691,0.6,2005-09-11,TNA Unbreakable 2005,0.0,0,2005.0,9.0
304,339049,0.6,2010-01-01,Dexter Jackson: Unbreakable,0.0,0,2010.0,1.0
305,266310,0.6,2014-04-25,Kaanchi: The Unbreakable,4.0,2,2014.0,4.0
306,425127,0.6,2002-11-10,Westlife: Unbreakable - Greatest Hits,0.0,0,2002.0,11.0
307,157803,0.6,2012-11-22,Unbreakable: The Western States 100,7.8,2,2012.0,11.0
308,68574,0.6,2003-09-23,Scorpions: Unbreakable One Night In Vienna,3.8,2,2003.0,9.0
309,116053,0.6,2008-05-14,"Backstreet Boys: Unbreakable Tour Live from The O2 Arena, London",0.0,0,2008.0,5.0
310,324710,0.6,2014-08-30,Unbreakable: A Story of Hope and Healing in Haiti,0.0,0,2014.0,8.0
311,345934,10.455,2018-10-26,Air Strike,4.1,47,2018.0,10.0
312,10559,8.824,2000-04-28,Frequency,7.1,768,2000.0,4.0
313,201430,0.909,2001-01-24,Strange Frequency,5.5,2,2001.0,1.0
314,58647,0.6,1988-05-17,High Frequency,6.5,3,1988.0,5.0
315,543015,0.6,,Frequency Resonance,0.0,0,,
316,290295,0.6,2014-01-01,Resonant Frequency,0.0,0,2014.0,1.0
317,321941,0.6,2010-12-15,Dead Frequency,7.7,3,2010.0,12.0
318,371832,0.6,2014-07-15,The Ghost Frequency,0.0,0,2014.0,7.0
319,234953,0.6,2012-06-06,Resonance: Beings of Frequency,7.1,4,2012.0,6.0
320,203838,0.6,2013-06-27,Searching for L Frequency,0.0,0,2013.0,6.0
321,499834,0.6,,Strange Frequency 2,0.0,0,,
322,342949,0.6,2013-12-23,Sonic Geometry: The Language of Frequency and Form,0.0,0,2013.0,12.0
323,318308,0.6,2009-07-28,The Rosslyn Frequency: Uncovering the Hidden World of the Knights Templar,0.0,0,2009.0,7.0
324,1359,17.733,2000-04-13,American Psycho,7.3,3915,2000.0,4.0
325,10726,7.662,2002-04-22,American Psycho II: All American Girl,4.6,133,2002.0,4.0
326,201090,0.6,2012-07-26,American Psycho Tour,0.0,0,2012.0,7.0
327,483149,0.614,2017-02-23,American Psychosis,0.0,0,2017.0,2.0
328,4327,11.674,2000-11-02,Charlie's Angels,5.7,2198,2000.0,11.0
329,9471,17.797,2003-06-27,Charlie's Angels: Full Throttle,5.3,1583,2003.0,6.0
330,458897,2.655,2019-11-15,Charlie's Angels,0.0,0,2019.0,11.0
331,45388,1.188,2004-03-08,Behind the Camera: The Unauthorized Story of Charlie's Angels,2.5,2,2004.0,3.0
332,4967,6.901,2000-04-14,Keeping the Faith,6.0,282,2000.0,4.0
333,10394,5.833,2000-06-09,Gangster No. 1,6.7,86,2000.0,6.0
334,8012,12.112,1995-10-20,Get Shorty,6.5,462,1995.0,10.0
335,68894,0.84,2000-09-08,Shadow Magic,6.0,2,2000.0,9.0
336,16,9.349,2000-05-17,Dancer in the Dark,7.9,752,2000.0,5.0
337,261740,0.6,1932-03-11,Dancers in the Dark,4.0,2,1932.0,3.0
338,3536,10.526,2000-04-20,U-571,6.3,534,2000.0,4.0
339,479,9.162,2000-06-15,Shaft,5.7,485,2000.0,6.0
340,482,6.434,1971-07-02,Shaft,6.6,113,1971.0,7.0
